#Thu Aug 29 15:26:49 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               4              10
               0           160.3            40.7
               1           3.223           34.53
               2           -1.61           32.31
               3          -16.86           30.48
               4          -192.7            13.9
               5          -64.22           8.959
               6          -14.55           10.93
               7          -5.955           8.054
               8          -55.19            8.06
               9          -50.52           7.206
              10           11.81           8.017
              11           10.56           7.775
              12          -50.76           9.622
              13          -33.21           6.729
              14           30.75           7.692
              15           33.29           7.755
              16          -39.61            9.49
              17          -25.51           6.731
              18          -0.846           13.89
              19           22.88           7.738
              20          -46.83             7.9
              21          -20.45           6.454
              22           5.522           8.912
              23           40.96            6.76
              24          -38.58           8.289
              25          -26.04            14.6
              26           27.77           8.098
              27           42.61            7.11
              28          -16.12           6.872
              29          -30.76           7.859
              30           18.88           7.058
              31           22.97            7.41
              32          -59.72           9.001
              33          -59.85           7.328
              34           12.21           8.709
              35           8.962           7.504
              36          -49.23           8.652
              37          -36.71            6.79
              38           44.32           8.448
              39           27.83            7.53
              40          -23.59           8.202
              41          -9.322           7.045
              42           51.98           8.426
              43           26.91            7.73
              44          -43.63           7.701
              45          -10.32           8.019
              46           29.31           7.166
              47           61.15            8.29
              48          -47.54            9.95
              49          -1.988           6.661
              50           15.77           11.59
              51              11           7.274
              52          -19.42           7.702
              53          -19.51           6.392
              54           18.48           8.421
              55           24.16           6.833
              56          -39.33           7.487
              57          -13.02           6.794
              58            17.8           7.587
              59           32.67            7.19
              60          -8.637           6.787
              61           2.676           8.436
              62           32.79           7.208
              63           72.43           8.103
              64          -60.11            8.43
              65           -8.45           9.248
              66           34.42           10.85
              67           24.69           7.271
              68          -31.29           8.808
              69          -21.21           7.387
              70           22.59           9.492
              71           23.16           7.357
              72          -23.45            8.16
              73          -6.793           9.103
              74           23.59           7.879
              75           54.72           7.724
              76          -24.77            9.67
              77          -4.505            7.98
              78           9.215           7.177
              79           55.52           8.607
              80          -36.23           8.233
              81          -43.77           13.73
              82           24.24           11.26
              83           33.51           8.167
              84          -18.78           7.364
              85          -24.58           14.79
              86           3.466           16.93
              87            16.8           7.086
              88          -33.89           7.728
              89          -39.56           7.361
              90           4.028           7.041
              91           61.39           7.394
              92          -26.73           7.885
              93          -34.34           10.38
              94           23.64            7.22
              95           47.74           8.765
              96          -41.35           8.685
              97          -8.134           7.257
              98           3.805           9.796
              99           36.71           9.219
             100          -48.77           9.016
             101          -24.67           7.158
             102           18.04           8.833
             103           41.29            7.48
             104          -42.16           7.618
             105          -24.44            8.05
             106           36.09           8.167
             107           59.42           7.874
             108          -4.935           7.903
             109          -4.789           7.955
             110           47.46           7.424
             111           62.61           10.42
             112          -59.61           7.733
             113          -10.31           6.451
             114           29.26           9.438
             115           36.58           7.156
             116          -41.22           7.407
             117          -3.288           6.383
             118           6.151           7.577
             119           29.51           6.962
             120          -26.22           7.061
             121          -15.45           7.241
             122           22.59           17.04
             123            28.2           7.419
             124          -1.023           9.591
             125           12.71           16.91
             126           15.46           8.018
             127           97.11           12.45
APV                2              13               4              11
               0           132.3           40.44
               1          -8.729           33.96
               2          -1.377           34.25
               3          -21.87           30.54
               4          -203.7           12.56
               5          -40.89           15.93
               6          -39.16           9.514
               7           4.886           8.319
               8          -55.49           7.387
               9           1.637           6.721
              10           2.529            8.14
              11           37.95            7.89
              12          -52.49           8.592
              13          -22.39           6.378
              14           16.76           7.427
              15           58.82           7.941
